Start Year,Country,Start Month,Disaster Subtype,COUNT
2003,Afghanistan,4,Ground movement,1
2003,Afghanistan,5,Flash flood,1
2003,Afghanistan,6,Riverine flood,1
2003,Afghanistan,7,Flash flood,1
2003,Afghanistan,7,Riverine flood,2
2003,Azerbaijan,4,Riverine flood,1
2003,Bangladesh,4,Storm (General),1
2003,Bangladesh,5,Heat wave,1
2003,Bangladesh,5,Tropical cyclone,1
2003,Bangladesh,6,Flash flood,1
2003,Bangladesh,6,Riverine flood,1
2003,Bangladesh,7,Ground movement,1
2003,Bangladesh,12,Cold wave,1
2003,Bangladesh,12,Tropical cyclone,1
2003,China,1,Drought,1
2003,China,2,Ground movement,1
2003,China,4,Forest fire,1
2003,China,4,Ground movement,1
2003,China,4,Hail,1
2003,China,5,Ground movement,1
2003,China,5,Landslide (wet),1
2003,China,5,Riverine flood,1
2003,China,6,Riverine flood,2
2003,China,7,Drought,1
2003,China,7,Ground movement,1
2003,China,7,Riverine flood,1
2003,China,7,Tornado,1
2003,China,7,Tropical cyclone,1
2003,China,8,Ground movement,1
2003,China,8,Landslide (wet),1
2003,China,8,Riverine flood,1
2003,China,9,Riverine flood,1
2003,China,9,Tropical cyclone,1
2003,China,10,Ground movement,2
2003,China,11,Ground movement,3
2003,China,11,Tropical cyclone,1
2003,China,12,Ground movement,1
2003,"China, Hong Kong Special Administrative Region",7,Tropical cyclone,1
2003,"China, Hong Kong Special Administrative Region",9,Tropical cyclone,1
2003,Cyprus,1,Tornado,1
2003,India,2,Storm (General),2
2003,India,2,Tropical cyclone,1
2003,India,3,Avalanche (wet),1
2003,India,3,Hail,1
2003,India,4,Tropical cyclone,2
2003,India,5,Heat wave,1
2003,India,6,Riverine flood,1
2003,India,7,Flash flood,1
2003,India,7,Riverine flood,1
2003,India,8,Flash flood,1
2003,India,8,Riverine flood,1
2003,India,9,Riverine flood,1
2003,India,12,Cold wave,1
2003,India,12,Tropical cyclone,1
2003,Indonesia,1,Flash flood,1
2003,Indonesia,1,Flood (General),2
2003,Indonesia,1,Ground movement,1
2003,Indonesia,1,Landslide (wet),2
2003,Indonesia,1,Riverine flood,1
2003,Indonesia,2,Riverine flood,1
2003,Indonesia,3,Landslide (wet),2
2003,Indonesia,5,Ground movement,1
2003,Indonesia,8,Drought,1
2003,Indonesia,8,Ground movement,1
2003,Indonesia,11,Flash flood,1
2003,Indonesia,11,Riverine flood,1
2003,Indonesia,12,Riverine flood,1
2003,Iran (Islamic Republic of),1,Ground movement,1
2003,Iran (Islamic Republic of),2,Avalanche (wet),1
2003,Iran (Islamic Republic of),3,Riverine flood,1
2003,Iran (Islamic Republic of),7,Ground movement,2
2003,Iran (Islamic Republic of),12,Ground movement,2
2003,Japan,5,Ground movement,1
2003,Japan,7,Ground movement,1
2003,Japan,7,Riverine flood,1
2003,Japan,8,Tropical cyclone,1
2003,Japan,9,Ground movement,1
2003,Japan,9,Tropical cyclone,1
2003,Kazakhstan,5,Ground movement,1
2003,Kyrgyzstan,4,Landslide (wet),1
2003,Lebanon,2,Riverine flood,1
2003,Malaysia,10,Riverine flood,1
2003,Malaysia,11,Flash flood,1
2003,Malaysia,12,Riverine flood,1
2003,Mongolia,7,Flash flood,1
2003,Nepal,7,Riverine flood,1
2003,Nepal,12,Cold wave,1
2003,Oman,4,Storm (General),1
2003,Pakistan,2,Storm (General),1
2003,Pakistan,5,Heat wave,1
2003,Pakistan,5,Landslide (wet),1
2003,Pakistan,7,Riverine flood,2
2003,Pakistan,9,Flash flood,1
2003,Philippines,5,Flash flood,1
2003,Philippines,5,Tropical cyclone,1
2003,Philippines,6,Tropical cyclone,1
2003,Philippines,7,Tropical cyclone,3
2003,Philippines,8,Storm (General),2
2003,Philippines,8,Tropical cyclone,1
2003,Philippines,12,Landslide (wet),1
2003,Republic of Korea,9,Tropical cyclone,1
2003,Saudi Arabia,8,Riverine flood,1
2003,Saudi Arabia,11,Riverine flood,1
2003,Sri Lanka,5,Flash flood,1
2003,Taiwan (Province of China),9,Tropical cyclone,1
2003,Tajikistan,2,Landslide (wet),1
2003,Tajikistan,4,Mudslide,1
2003,Tajikistan,6,Riverine flood,1
2003,Thailand,4,Hail,1
2003,Thailand,10,Riverine flood,2
2003,Thailand,12,Flash flood,1
2003,Timor-Leste,6,Riverine flood,1
2003,Timor-Leste,12,Flood (General),1
2003,Türkiye,1,Ground movement,1
2003,Türkiye,4,Ground movement,1
2003,Türkiye,5,Ground movement,1
2003,Türkiye,7,Ground movement,1
2003,Türkiye,12,Riverine flood,1
2003,Viet Nam,7,Tropical cyclone,1
2003,Viet Nam,9,Riverine flood,1
2003,Viet Nam,10,Coastal flood,1
2003,Viet Nam,11,Riverine flood,1
2003,Yemen,6,Riverine flood,1
2004,Afghanistan,1,Riverine flood,1
2004,Afghanistan,7,Ground movement,1
2004,Afghanistan,7,Riverine flood,1
2004,Armenia,3,Riverine flood,1
2004,Bangladesh,4,Tornado,1
2004,Bangladesh,5,Tornado,1
2004,Bangladesh,6,Riverine flood,1
2004,Bangladesh,6,Storm (General),1
2004,Bangladesh,7,Storm (General),1
2004,Bangladesh,9,Riverine flood,1
2004,Bangladesh,10,Flash flood,1
2004,Bangladesh,12,Tsunami,1
2004,Bhutan,7,Riverine flood,1
2004,Cambodia,8,Riverine flood,1
2004,China,3,Ground movement,1
2004,China,4,Hail,1
2004,China,5,Flash flood,1
2004,China,5,Ground movement,1
2004,China,5,Riverine flood,1
2004,China,5,Storm (General),1
2004,China,5,Tornado,1
2004,China,6,Flash flood,1
2004,China,6,Hail,1
2004,China,6,Landslide (wet),1
2004,China,6,Riverine flood,4
2004,China,6,Storm (General),1
2004,China,7,Heat wave,1
2004,China,7,Riverine flood,1
2004,China,8,Ground movement,1
2004,China,8,Tropical cyclone,2
2004,China,9,Ground movement,1
2004,China,9,Riverine flood,1
2004,China,10,Ground movement,1
2004,China,12,Landslide (dry),1
2004,Cyprus,1,Storm (General),1
2004,Democratic People's Republic of Korea,7,Riverine flood,1
2004,Democratic People's Republic of Korea,9,Riverine flood,1
2004,Georgia,3,Riverine flood,1
2004,Georgia,7,Riverine flood,1
2004,India,4,Riverine flood,1
2004,India,6,Riverine flood,2
2004,India,8,Riverine flood,1
2004,India,9,Flash flood,1
2004,India,10,Flash flood,1
2004,India,12,Tsunami,1
2004,Indonesia,1,Ash fall,1
2004,Indonesia,1,Ground movement,1
2004,Indonesia,1,Landslide (wet),1
2004,Indonesia,2,Ground movement,2
2004,Indonesia,2,Riverine flood,1
2004,Indonesia,2,Severe weather,1
2004,Indonesia,3,Landslide (wet),1
2004,Indonesia,3,Tropical cyclone,1
2004,Indonesia,4,Landslide (wet),2
2004,Indonesia,6,Ash fall,2
2004,Indonesia,9,Ash fall,1
2004,Indonesia,11,Ground movement,2
2004,Indonesia,12,Tsunami,1
2004,Iran (Islamic Republic of),1,Flash flood,1
2004,Iran (Islamic Republic of),2,Storm (General),1
2004,Iran (Islamic Republic of),5,Ground movement,1
2004,Iran (Islamic Republic of),12,Flash flood,1
2004,Iraq,1,Flash flood,1
2004,Japan,6,Tropical cyclone,1
2004,Japan,7,Flash flood,1
2004,Japan,7,Heat wave,1
2004,Japan,8,Tropical cyclone,3
2004,Japan,9,Tropical cyclone,2
2004,Japan,10,Ground movement,1
2004,Japan,10,Tropical cyclone,2
2004,Japan,11,Riverine flood,1
2004,Kazakhstan,3,Mudslide,1
2004,Kyrgyzstan,4,Landslide (wet),2
2004,Kyrgyzstan,8,Avalanche (wet),1
2004,Malaysia,1,Riverine flood,1
2004,Malaysia,3,Riverine flood,1
2004,Malaysia,7,Storm (General),1
2004,Malaysia,11,Storm (General),1
2004,Malaysia,12,Riverine flood,1
2004,Malaysia,12,Tsunami,1
2004,Maldives,12,Tsunami,1
2004,Myanmar,5,Tropical cyclone,1
2004,Myanmar,12,Tsunami,1
2004,Nepal,7,Riverine flood,1
2004,Pakistan,2,Ground movement,1
2004,Pakistan,7,Riverine flood,1
2004,Pakistan,8,Riverine flood,1
2004,Philippines,1,Riverine flood,1
2004,Philippines,2,Riverine flood,1
2004,Philippines,5,Tropical cyclone,1
2004,Philippines,6,Flash flood,1
2004,Philippines,6,Tornado,1
2004,Philippines,6,Tropical cyclone,1
2004,Philippines,8,Tropical cyclone,1
2004,Philippines,11,Tropical cyclone,4
2004,Philippines,12,Landslide (wet),1
2004,Republic of Korea,3,Blizzard/Winter storm,1
2004,Republic of Korea,3,Forest fire,1
2004,Republic of Korea,6,Tropical cyclone,1
2004,Republic of Korea,8,Riverine flood,1
2004,Republic of Korea,8,Tropical cyclone,1
2004,Republic of Korea,9,Riverine flood,1
2004,Republic of Korea,9,Tropical cyclone,1
2004,Saudi Arabia,4,Riverine flood,1
2004,Sri Lanka,12,Riverine flood,1
2004,Sri Lanka,12,Tsunami,1
2004,Syrian Arab Republic,2,Blizzard/Winter storm,1
2004,Taiwan (Province of China),6,Tropical cyclone,1
2004,Taiwan (Province of China),8,Tropical cyclone,1
2004,Taiwan (Province of China),9,Tropical cyclone,1
2004,Taiwan (Province of China),10,Tropical cyclone,1
2004,Taiwan (Province of China),12,Tropical cyclone,1
2004,Tajikistan,4,Ground movement,1
2004,Tajikistan,7,Riverine flood,1
2004,Thailand,5,Storm (General),1
2004,Thailand,6,Tropical cyclone,1
2004,Thailand,8,Riverine flood,1
2004,Thailand,9,Flash flood,1
2004,Thailand,10,Landslide (wet),1
2004,Thailand,12,Riverine flood,1
2004,Thailand,12,Tsunami,1
2004,Türkiye,1,Cold wave,1
2004,Türkiye,1,Storm (General),1
2004,Türkiye,3,Ground movement,2
2004,Türkiye,3,Riverine flood,1
2004,Türkiye,5,Riverine flood,1
2004,Türkiye,6,Tornado,1
2004,Türkiye,7,Ground movement,1
2004,Türkiye,8,Flash flood,1
2004,Türkiye,11,Blizzard/Winter storm,1
2004,Viet Nam,4,Riverine flood,1
2004,Viet Nam,6,Tropical cyclone,1
2004,Viet Nam,7,Flash flood,1
2004,Viet Nam,8,Riverine flood,1
2004,Viet Nam,9,Landslide (wet),1
2004,Viet Nam,11,Tropical cyclone,1
2005,Afghanistan,1,Storm (General),1
2005,Afghanistan,3,Riverine flood,2
2005,Afghanistan,4,Cold wave,1
2005,Afghanistan,5,Riverine flood,1
2005,Afghanistan,6,Riverine flood,2
2005,Afghanistan,9,Riverine flood,1
2005,Afghanistan,10,Ground movement,1
2005,Afghanistan,12,Ground movement,1
2005,Afghanistan,12,Riverine flood,2
2005,Bangladesh,3,Tornado,1
2005,Bangladesh,3,Tropical cyclone,1
2005,Bangladesh,5,Flash flood,1
2005,Bangladesh,5,Storm (General),3
2005,Bangladesh,6,Storm (General),1
2005,Bangladesh,7,Heat wave,1
2005,Bangladesh,7,Riverine flood,1
2005,Bangladesh,9,Storm (General),1
2005,Bangladesh,10,Flash flood,1
2005,Bangladesh,12,Severe winter conditions,1
2005,Cambodia,4,Drought,1
2005,Cambodia,9,Riverine flood,1
2005,China,2,Storm (General),1
2005,China,3,Storm (General),1
2005,China,4,Storm (General),1
2005,China,5,Flash flood,1
2005,China,5,Hail,1
2005,China,5,Storm (General),1
2005,China,6,Flash flood,1
2005,China,6,Hail,1
2005,China,6,Riverine flood,3
2005,China,6,Storm (General),1
2005,China,7,Drought,1
2005,China,7,Heat wave,1
2005,China,7,Riverine flood,2
2005,China,7,Tornado,1
2005,China,7,Tropical cyclone,2
2005,China,8,Ground movement,1
2005,China,8,Riverine flood,2
2005,China,9,Riverine flood,1
2005,China,9,Tropical cyclone,3
2005,China,10,Drought,1
2005,China,10,Riverine flood,1
2005,China,10,Tropical cyclone,1
2005,China,11,Ground movement,1
2005,"China, Hong Kong Special Administrative Region",6,Riverine flood,1
2005,Democratic People's Republic of Korea,6,Flash flood,1
2005,Georgia,4,Riverine flood,1
2005,India,2,Avalanche (wet),1
2005,India,3,Storm (General),1
2005,India,5,Riverine flood,1
2005,India,5,Storm (General),2
2005,India,6,Heat wave,1
2005,India,6,Riverine flood,2
2005,India,7,Riverine flood,7
2005,India,8,Flash flood,1
2005,India,8,Landslide (wet),1
2005,India,9,Riverine flood,3
2005,India,9,Storm (General),1
2005,India,10,Ground movement,1
2005,India,10,Riverine flood,2
2005,India,12,Riverine flood,1
2005,India,12,Severe winter conditions,1
2005,Indonesia,1,Ground movement,1
2005,Indonesia,2,Landslide (wet),1
2005,Indonesia,3,Ground movement,1
2005,Indonesia,4,Ash fall,1
2005,Indonesia,4,Flash flood,1
2005,Indonesia,8,Forest fire,1
2005,Indonesia,9,Landslide (wet),1
2005,Indonesia,10,Flash flood,1
2005,Indonesia,12,Flash flood,1
2005,Iran (Islamic Republic of),1,Ground movement,1
2005,Iran (Islamic Republic of),2,Ground movement,1
2005,Iran (Islamic Republic of),2,Storm (General),1
2005,Iran (Islamic Republic of),3,Ground movement,1
2005,Iran (Islamic Republic of),3,Riverine flood,1
