Start Year,Country,Disaster Subtype,COUNT
2002,United States of America,Tornado,5
2002,United States of America,Tropical cyclone,2
2002,Uruguay,Flood (General),1
2002,Uruguay,Storm (General),1
2002,Venezuela (Bolivarian Republic of),Riverine flood,1
2003,Argentina,Drought,1
2003,Argentina,Lightning/Thunderstorms,1
2003,Argentina,Riverine flood,2
2003,Bolivia (Plurinational State of),Flash flood,1
2003,Bolivia (Plurinational State of),Landslide (wet),1
2003,Bolivia (Plurinational State of),Riverine flood,2
2003,Brazil,Riverine flood,5
2003,Canada,Flash flood,1
2003,Canada,Forest fire,1
2003,Canada,Riverine flood,3
2003,Canada,Tropical cyclone,2
2003,Chile,"Land fire (Brush, Bush, Pasture)",1
2003,Colombia,Mudslide,1
2003,Colombia,Riverine flood,3
2003,Costa Rica,Ground movement,1
2003,Costa Rica,Riverine flood,1
2003,Cuba,Riverine flood,1
2003,Dominican Republic,Coastal flood,1
2003,Dominican Republic,Ground movement,1
2003,Dominican Republic,Riverine flood,1
2003,Dominican Republic,Tropical cyclone,1
2003,Ecuador,Ash fall,1
2003,Ecuador,Riverine flood,1
2003,Guatemala,Forest fire,1
2003,Guatemala,Landslide (wet),1
2003,Haiti,Drought,1
2003,Haiti,Flash flood,1
2003,Haiti,Riverine flood,2
2003,Haiti,Storm (General),1
2003,Honduras,Flood (General),1
2003,Honduras,Riverine flood,1
2003,Mexico,Coastal flood,1
2003,Mexico,Cold wave,1
2003,Mexico,Flash flood,1
2003,Mexico,Forest fire,1
2003,Mexico,Ground movement,1
2003,Mexico,Landslide (wet),1
2003,Mexico,Riverine flood,1
2003,Mexico,Tropical cyclone,2
2003,Panama,Ground movement,2
2003,Panama,Riverine flood,1
2003,Peru,Cold wave,1
2003,Peru,Riverine flood,2
2003,Puerto Rico,Riverine flood,1
2003,Puerto Rico,Tropical cyclone,1
2003,United States of America,Blizzard/Winter storm,4
2003,United States of America,Flash flood,1
2003,United States of America,Forest fire,3
2003,United States of America,Ground movement,1
2003,United States of America,Mudslide,1
2003,United States of America,Riverine flood,3
2003,United States of America,Storm (General),4
2003,United States of America,Tornado,4
2003,United States of America,Tropical cyclone,2
2003,Uruguay,Riverine flood,1
2003,Venezuela (Bolivarian Republic of),Riverine flood,2
2004,Argentina,Cold wave,1
2004,Argentina,Riverine flood,2
2004,Bahamas,Tropical cyclone,2
2004,Barbados,Tropical cyclone,1
2004,Bolivia (Plurinational State of),Drought,1
2004,Brazil,Cold wave,1
2004,Brazil,Drought,1
2004,Brazil,Flash flood,1
2004,Brazil,Riverine flood,1
2004,Brazil,Tropical cyclone,1
2004,Canada,Blizzard/Winter storm,2
2004,Canada,Flash flood,1
2004,Canada,Riverine flood,1
2004,Cayman Islands,Tropical cyclone,2
2004,Chile,Cold wave,1
2004,Chile,Riverine flood,1
2004,Colombia,Ground movement,2
2004,Colombia,Riverine flood,2
2004,Costa Rica,Ground movement,1
2004,Costa Rica,Riverine flood,2
2004,Cuba,Drought,1
2004,Cuba,Tropical cyclone,2
2004,Dominica,Ground movement,1
2004,Dominican Republic,Riverine flood,1
2004,Dominican Republic,Tropical cyclone,3
2004,Grenada,Tropical cyclone,1
2004,Guadeloupe,Ground movement,1
2004,Haiti,Riverine flood,1
2004,Haiti,Tropical cyclone,2
2004,Honduras,Drought,1
2004,Jamaica,Tropical cyclone,2
2004,Mexico,Cold wave,1
2004,Mexico,Flash flood,1
2004,Mexico,Riverine flood,1
2004,Nicaragua,Mudslide,1
2004,Nicaragua,Storm (General),1
2004,Panama,Flash flood,1
2004,Panama,Riverine flood,2
2004,Paraguay,Cold wave,1
2004,Peru,Cold wave,1
2004,Peru,Drought,1
2004,Peru,Mudslide,1
2004,Peru,Riverine flood,1
2004,Puerto Rico,Riverine flood,1
2004,Puerto Rico,Tropical cyclone,2
2004,Saint Lucia,Tropical cyclone,1
2004,Saint Vincent and the Grenadines,Tropical cyclone,1
2004,Trinidad and Tobago,Mudslide,1
2004,Trinidad and Tobago,Tropical cyclone,1
2004,Turks and Caicos Islands,Tropical cyclone,1
2004,United States Virgin Islands,Tropical cyclone,1
2004,United States of America,Blizzard/Winter storm,1
2004,United States of America,Cold wave,1
2004,United States of America,Forest fire,3
2004,United States of America,Hail,2
2004,United States of America,Lightning/Thunderstorms,2
2004,United States of America,Riverine flood,4
2004,United States of America,Tornado,2
2004,United States of America,Tropical cyclone,5
2004,Uruguay,Cold wave,1
2004,Venezuela (Bolivarian Republic of),Riverine flood,1
2004,Venezuela (Bolivarian Republic of),Tropical cyclone,1
2005,Argentina,Storm (General),1
2005,Belize,Tropical cyclone,2
2005,Bolivia (Plurinational State of),Forest fire,1
2005,Brazil,Drought,1
2005,Brazil,Riverine flood,2
2005,Brazil,Tornado,1
2005,Canada,Forest fire,2
2005,Canada,Riverine flood,2
2005,Canada,Storm (General),1
2005,Chile,Blizzard/Winter storm,1
2005,Chile,Ground movement,1
2005,Chile,Riverine flood,2
2005,Colombia,Ash fall,1
2005,Colombia,Riverine flood,3
2005,Colombia,Tropical cyclone,1
2005,Costa Rica,Riverine flood,2
2005,Costa Rica,Tropical cyclone,1
2005,Cuba,Tropical cyclone,2
2005,Dominican Republic,Flood (General),1
2005,Dominican Republic,Forest fire,1
2005,Dominican Republic,Tropical cyclone,1
2005,El Salvador,Ash fall,1
2005,El Salvador,Ground movement,1
2005,El Salvador,Riverine flood,2
2005,El Salvador,Tropical cyclone,2
2005,Guatemala,Landslide (wet),2
2005,Guatemala,Riverine flood,1
2005,Guatemala,Tropical cyclone,1
2005,Guyana,Riverine flood,1
2005,Haiti,Flood (General),2
2005,Haiti,Riverine flood,1
2005,Haiti,Tropical cyclone,5
2005,Honduras,Riverine flood,1
2005,Honduras,Tropical cyclone,4
2005,Jamaica,Tropical cyclone,3
2005,Mexico,Flood (General),1
2005,Mexico,Riverine flood,2
2005,Mexico,Tropical cyclone,4
2005,Nicaragua,Tropical cyclone,2
2005,Panama,Riverine flood,1
2005,Paraguay,Drought,1
2005,Peru,Ground movement,2
2005,Saint Vincent and the Grenadines,Tropical cyclone,1
2005,Trinidad and Tobago,Tropical cyclone,1
2005,United States of America,Blizzard/Winter storm,2
2005,United States of America,Flash flood,1
2005,United States of America,Forest fire,1
2005,United States of America,Heat wave,1
2005,United States of America,Lightning/Thunderstorms,1
2005,United States of America,Riverine flood,5
2005,United States of America,Tornado,1
2005,United States of America,Tropical cyclone,4
2005,Uruguay,Storm (General),1
2005,Venezuela (Bolivarian Republic of),Riverine flood,4
2006,Argentina,Flood (General),1
2006,Bolivia (Plurinational State of),Riverine flood,2
2006,Brazil,Flash flood,1
2006,Brazil,Riverine flood,1
2006,Canada,Riverine flood,5
2006,Chile,Riverine flood,1
2006,Colombia,Ash fall,2
2006,Colombia,Riverine flood,1
2006,Cuba,Riverine flood,1
2006,Cuba,Tropical cyclone,1
2006,Ecuador,Ash fall,2
2006,Ecuador,Riverine flood,1
2006,El Salvador,Cold wave,1
2006,El Salvador,Ground movement,1
2006,Guatemala,Cold wave,1
2006,Guyana,Riverine flood,1
2006,Haiti,Coastal flood,1
2006,Haiti,Flash flood,1
2006,Haiti,Tropical cyclone,1
2006,Honduras,Riverine flood,1
2006,Jamaica,Riverine flood,1
2006,Mexico,Cold wave,1
2006,Mexico,Landslide (wet),2
2006,Mexico,Riverine flood,1
2006,Mexico,Tropical cyclone,3
2006,Montserrat,Ash fall,1
2006,Panama,Riverine flood,2
2006,Panama,Wildfire (General),1
2006,Peru,Ash fall,1
2006,Peru,Drought,1
2006,Peru,Riverine flood,1
2006,Suriname,Riverine flood,1
2006,United States of America,Blizzard/Winter storm,3
2006,United States of America,Ground movement,1
2006,United States of America,Hail,2
2006,United States of America,Heat wave,2
2006,United States of America,"Land fire (Brush, Bush, Pasture)",2
2006,United States of America,Lightning/Thunderstorms,1
2006,United States of America,Riverine flood,11
2006,United States of America,Storm (General),2
2006,United States of America,Tornado,3
2006,United States of America,Tropical cyclone,1
2006,United States of America,Wildfire (General),1
2006,Venezuela (Bolivarian Republic of),Riverine flood,1
2007,Argentina,Riverine flood,2
2007,Argentina,Severe winter conditions,1
2007,Bahamas,Tropical cyclone,1
2007,Barbados,Ground movement,1
2007,Belize,Tropical cyclone,1
2007,Bolivia (Plurinational State of),Riverine flood,2
2007,Bolivia (Plurinational State of),Severe winter conditions,1
2007,Brazil,Drought,1
2007,Brazil,Flash flood,1
2007,Brazil,Flood (General),1
2007,Brazil,Ground movement,1
2007,Brazil,Mudslide,1
2007,Brazil,Riverine flood,1
2007,Canada,Blizzard/Winter storm,1
2007,Canada,Riverine flood,1
2007,Canada,Storm (General),1
2007,Chile,Ground movement,1
2007,Chile,Severe winter conditions,1
2007,Chile,Tsunami,1
2007,Colombia,Ash fall,1
2007,Colombia,Ground movement,1
2007,Colombia,Riverine flood,4
2007,Costa Rica,Riverine flood,2
2007,Cuba,Riverine flood,1
2007,Cuba,Tropical cyclone,2
2007,Dominica,Tropical cyclone,1
2007,Dominican Republic,Riverine flood,2
2007,Dominican Republic,Tropical cyclone,3
2007,El Salvador,Riverine flood,1
2007,El Salvador,Tropical cyclone,1
2007,Guatemala,Riverine flood,2
2007,Guatemala,Tropical cyclone,1
2007,Haiti,Riverine flood,4
2007,Haiti,Tropical cyclone,3
2007,Honduras,Flood (General),1
2007,Honduras,Ground movement,1
2007,Honduras,Riverine flood,1
2007,Honduras,Tropical cyclone,1
2007,Jamaica,Tropical cyclone,2
2007,Martinique,Ground movement,1
2007,Martinique,Tropical cyclone,1
2007,Mexico,Coastal flood,1
2007,Mexico,Landslide (wet),1
2007,Mexico,Riverine flood,1
2007,Mexico,Tropical cyclone,4
2007,Nicaragua,Riverine flood,1
2007,Nicaragua,Tropical cyclone,1
2007,Panama,Riverine flood,1
2007,Paraguay,Forest fire,1
2007,Peru,Ground movement,1
2007,Peru,Riverine flood,1
2007,Peru,Severe winter conditions,1
2007,Puerto Rico,Tropical cyclone,1
2007,Saint Lucia,Ground movement,1
2007,Saint Lucia,Tropical cyclone,1
2007,United States of America,Blizzard/Winter storm,1
2007,United States of America,Drought,1
2007,United States of America,Flash flood,1
2007,United States of America,Forest fire,2
2007,United States of America,"Land fire (Brush, Bush, Pasture)",1
2007,United States of America,Riverine flood,5
2007,United States of America,Storm (General),7
2007,United States of America,Tornado,4
2007,United States of America,Tropical cyclone,1
2007,Uruguay,Riverine flood,2
2007,Uruguay,Severe winter conditions,1
2008,Antigua and Barbuda,Tropical cyclone,1
2008,Argentina,Ash fall,1
2008,Argentina,Riverine flood,1
2008,Bahamas,Tropical cyclone,1
2008,Belize,Riverine flood,1
2008,Belize,Tropical cyclone,1
2008,Bolivia (Plurinational State of),Drought,1
2008,Bolivia (Plurinational State of),Severe weather,1
2008,Brazil,Extra-tropical storm,1
2008,Brazil,Riverine flood,4
2008,Canada,Riverine flood,2
2008,Cayman Islands,Tropical cyclone,2
2008,Chile,Ash fall,1
2008,Chile,Riverine flood,2
2008,Colombia,Ash fall,3
2008,Colombia,Ground movement,1
2008,Colombia,Landslide (dry),1
2008,Colombia,Landslide (wet),1
2008,Colombia,Riverine flood,2
2008,Costa Rica,Riverine flood,3
2008,Costa Rica,Tropical cyclone,1
2008,Cuba,Riverine flood,1
2008,Cuba,Tropical cyclone,4
2008,Dominican Republic,Tropical cyclone,3
2008,Ecuador,Riverine flood,1
2008,El Salvador,Riverine flood,2
2008,Guatemala,Landslide (wet),1
2008,Guatemala,Riverine flood,2
2008,Guatemala,Tropical cyclone,1
2008,Guyana,Riverine flood,1
2008,Haiti,Tropical cyclone,4
2008,Honduras,Riverine flood,1
2008,Honduras,Tropical cyclone,1
2008,Jamaica,Tropical cyclone,2
2008,Mexico,Flash flood,1
2008,Mexico,Landslide (wet),1
2008,Mexico,Tropical cyclone,1
2008,Nicaragua,Riverine flood,2
2008,Nicaragua,Tropical cyclone,1
2008,Panama,Flash flood,1
2008,Panama,Riverine flood,1
2008,Paraguay,Drought,1
2008,Paraguay,Hail,1
2008,Peru,Riverine flood,1
2008,Suriname,Riverine flood,1
2008,Turks and Caicos Islands,Tropical cyclone,3
2008,United States of America,Blizzard/Winter storm,1
2008,United States of America,Extra-tropical storm,1
2008,United States of America,Forest fire,1
2008,United States of America,Ground movement,1
2008,United States of America,Riverine flood,4
2008,United States of America,Severe winter conditions,1
2008,United States of America,Tornado,7
2008,United States of America,Tropical cyclone,5
2008,United States of America,Wildfire (General),1
2008,Venezuela (Bolivarian Republic of),Riverine flood,1
2009,Argentina,Drought,1
2009,Argentina,Landslide (wet),1
2009,Argentina,Riverine flood,2
2009,Argentina,Severe weather,1
2009,Bolivia (Plurinational State of),Riverine flood,1
2009,Brazil,Mudslide,1
2009,Brazil,Riverine flood,7
2009,Brazil,Severe weather,1
2009,Canada,Riverine flood,1
2009,Canada,Severe weather,1
2009,Canada,Tropical cyclone,1
2009,Colombia,Landslide (wet),2
2009,Colombia,Riverine flood,1
2009,Costa Rica,Ground movement,1
2009,Dominican Republic,Riverine flood,2
2009,Ecuador,Drought,1
2009,Ecuador,Riverine flood,1
2009,El Salvador,Tropical cyclone,1
2009,Guatemala,Drought,1
2009,Guatemala,Landslide (dry),1
2009,Guatemala,Riverine flood,1
2009,Haiti,Flash flood,1
2009,Haiti,Riverine flood,2
2009,Honduras,Drought,1
2009,Honduras,Ground movement,1
2009,Mexico,Riverine flood,5
2009,Mexico,Tropical cyclone,2
2009,Nicaragua,Riverine flood,2
2009,Nicaragua,Tropical cyclone,1
2009,Panama,Riverine flood,1
2009,Paraguay,Drought,1
2009,Paraguay,Riverine flood,1
2009,Paraguay,Severe weather,1
2009,Peru,Cold wave,1
2009,Peru,Landslide (wet),3
2009,Peru,Riverine flood,1
2009,Peru,Rockfall (wet),1
2009,United States of America,Blizzard/Winter storm,1
2009,United States of America,Cold wave,1
2009,United States of America,"Land fire (Brush, Bush, Pasture)",2
2009,United States of America,Lightning/Thunderstorms,1
2009,United States of America,Riverine flood,4
2009,United States of America,Severe weather,2
2009,United States of America,Tornado,4
