Start Year,Country,province,Disaster Subtype,COUNT
2005,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,1
2005,China,Guizhou Sheng,storm (general),1
2005,China,Heilongjiang Sheng,flash flood,1
2005,China,Hubei Sheng,riverine flood,1
2005,China,Hubei Sheng,tropical cyclone,1
2005,China,Jiangsu Sheng,tropical cyclone,1
2005,China,Jilin Sheng,riverine flood,1
2005,China,Yunnan,riverine flood,1
2005,China,Zhejiang Sheng,tropical cyclone,2
2005,India,Himachal Pradesh,riverine flood,1
2005,India,Jammu and Kashmir,riverine flood,1
2005,Iran (Islamic Republic of),Kerman,ground movement,1
2005,Japan,Tookyoo,tropical cyclone,1
2005,Japan,Tottori,storm (general),1
2005,Kyrgyzstan,Batken,riverine flood,1
2005,Philippines,Region IV,riverine flood,1
2005,Republic of Korea,Kwangju,storm (general),1
2005,Republic of Korea,Taejon,tropical cyclone,1
2005,Tajikistan,Khatlon,flash flood,1
2005,Thailand,Nan,storm (general),1
2005,Thailand,Tak,riverine flood,1
2005,Thailand,Ubon Ratchathani,tropical cyclone,1
2005,Thailand,Udon Thani,drought,1
2005,Thailand,Yala,flash flood,1
2005,Viet Nam,Da Nang City,tropical cyclone,1
2005,Viet Nam,Dak Lak,riverine flood,1
2005,Viet Nam,Ha Tinh,tropical cyclone,1
2005,Viet Nam,Quang Ngai,riverine flood,1
2005,Viet Nam,Quang Tri,flash flood,1
2005,Viet Nam,Quang Tri,tropical cyclone,1
2006,China,Anhui Sheng,riverine flood,1
2006,China,Fujian,tropical cyclone,1
2006,China,Fujian Sheng,tropical cyclone,1
2006,China,Guangxi Zhuangzu Zizhiqu,tropical cyclone,1
2006,China,Guizhou Sheng,flash flood,1
2006,China,Guizhou Sheng,riverine flood,2
2006,China,Hainan Sheng,tropical cyclone,1
2006,China,Hubei Sheng,drought,1
2006,China,Hubei Sheng,riverine flood,1
2006,China,Hunan Sheng,tropical cyclone,1
2006,China,Yunnan Sheng,ground movement,1
