Start Year,Country,province,Disaster Subtype,COUNT
2002,China,Xinjiang Uygur Zizhiqu,sand/dust storm,1
2002,China,Yunnan Sheng,flash flood,1
2002,China,Yunnan Sheng,landslide (wet),1
2002,China,Yunnan Sheng,riverine flood,1
2002,China,Zheijiang,storm (general),1
2002,China,Zhejiang Sheng,storm (general),1
2002,India,Delhi,cold wave,1
2002,India,Maharashrta,riverine flood,1
2002,India,Manipur,riverine flood,1
2002,India,Tamil Nadu,drought,1
2002,India,West Bengal,heat wave,1
2002,Indonesia,Jawa Timur,mudslide,1
2002,Indonesia,Kalimatan Tengah,forest fire,1
2002,Indonesia,Papua Barat,ground movement,1
2002,Indonesia,Papua Barat,tsunami,1
2002,Indonesia,Sumatera Utara,riverine flood,1
2002,Indonesia,Sumatra Selatan,riverine flood,1
2002,Iran (Islamic Republic of),Esfahan,riverine flood,1
2002,Iran (Islamic Republic of),Ghazvin,ground movement,1
2002,Iran (Islamic Republic of),Kerman,riverine flood,1
2002,Iran (Islamic Republic of),Kermanshah,ground movement,1
2002,Iran (Islamic Republic of),Semnan,riverine flood,1
2002,Japan,Isikawa,tropical cyclone,1
2002,Japan,Tookyoo,forest fire,1
2002,Jordan,Zarqa,storm (general),1
2002,Kyrgyzstan,Osh,landslide (wet),1
2002,Lao People's Democratic Republic,Louangphabang,riverine flood,1
2002,Lebanon,South,storm (general),1
2002,Malaysia,Selangor,lightning/thunderstorms,1
2002,Mongolia,Arxangai,storm (general),1
2002,Mongolia,Zavxan,storm (general),1
2002,Myanmar,Kyain,riverine flood,1
2002,Nepal,Central,cold wave,1
2002,Nepal,Central,landslide (wet),1
2002,Pakistan,Punjab,flood (general),1
2002,Pakistan,Sindh,cold wave,1
2002,Pakistan,Sindh,heat wave,1
2002,Republic of Korea,Taejon,storm (general),1
2002,Sri Lanka,Eastern,riverine flood,1
2002,Syrian Arab Republic,Aleppo,landslide (wet),1
2002,Taiwan (Province of China),Taiwan Sheng,ground movement,1
2002,Tajikistan,Badakhshoni Kuni,flash flood,1
2002,Tajikistan,Khatlon,flood (general),1
2002,Tajikistan,Khatlon,riverine flood,1
2002,Tajikistan,Tadzhikistan Territories,ground movement,1
2002,Tajikistan,Tadzhikistan Territories,riverine flood,1
2002,Thailand,Mae Hong Son,landslide (wet),1
2002,Thailand,Nakhon Ratchasima,drought,1
2002,Thailand,Ubon Ratchathani,flash flood,1
2002,Türkiye,Ankara,storm (general),1
2002,Türkiye,Rize,riverine flood,1
2002,Viet Nam,An Giang,riverine flood,1
2002,Viet Nam,Lam Dong,riverine flood,1
2002,Viet Nam,Long An,drought,1
