Country,province,Disaster Subtype,rate
India,Jammu and Kashmir,cold wave,0.0002275830678197542
India,Jammu and Kashmir,flash flood,0.0002275830678197542
India,Jammu and Kashmir,flood (general),0.0001137915339098771
India,Jammu and Kashmir,riverine flood,0.0002275830678197542
India,Jammu and Kashmir,severe winter conditions,0.0001137915339098771
India,Jharkhand,flash flood,0.0001137915339098771
India,Jharkhand,lightning/thunderstorms,0.0003413746017296313
India,Karnataka,flood (general),0.0001137915339098771
India,Karnataka,riverine flood,0.0002275830678197542
India,Kerala,flood (general),0.0001137915339098771
India,Kerala,landslide (wet),0.0001137915339098771
India,Kerala,riverine flood,0.0001137915339098771
India,Kerala,tropical cyclone,0.0001137915339098771
India,Madhya Pradesh,lightning/thunderstorms,0.0001137915339098771
India,Madhya Pradesh,riverine flood,0.0001137915339098771
India,Maharashrta,riverine flood,0.0001137915339098771
India,Maharashtra,drought,0.0001137915339098771
India,Maharashtra,landslide (wet),0.0003413746017296313
India,Maharashtra,riverine flood,0.0003413746017296313
India,Maharashtra,tropical cyclone,0.0001137915339098771
India,Manipur,riverine flood,0.0003413746017296313
India,Meghalaya,ground movement,0.0001137915339098771
India,Meghalaya,riverine flood,0.0001137915339098771
India,Nagaland,flood (general),0.0001137915339098771
India,Orissa,heat wave,0.0001137915339098771
India,Orissa,riverine flood,0.0002275830678197542
India,Orissa,storm (general),0.0001137915339098771
India,Orissa,tropical cyclone,0.0001137915339098771
India,Puducherry,flood (general),0.0001137915339098771
India,Punjab,cold wave,0.0001137915339098771
India,Punjab,ground movement,0.0001137915339098771
India,Rajasthan,cold wave,0.0001137915339098771
India,Rajasthan,riverine flood,0.0003413746017296313
India,Sikkim,ground movement,0.0001137915339098771
India,Tamil Nadu,drought,0.0001137915339098771
India,Tamil Nadu,flash flood,0.0001137915339098771
India,Tamil Nadu,riverine flood,0.0001137915339098771
India,Tamil Nadu,tropical cyclone,0.0003413746017296313
India,Tripura,riverine flood,0.0002275830678197542
India,Uttar Pradesh,cold wave,0.0001137915339098771
India,Uttar Pradesh,flash flood,0.0001137915339098771
India,Uttar Pradesh,heat wave,0.0002275830678197542
India,Uttar Pradesh,riverine flood,0.0002275830678197542
India,Uttar Pradesh,severe weather,0.0001137915339098771
India,Uttar Pradesh,severe winter conditions,0.0001137915339098771
India,Uttar Pradeshr,flood (general),0.0001137915339098771
India,Uttarakhand,landslide (wet),0.0001137915339098771
India,Uttarakhand,riverine flood,0.0002275830678197542
India,West Bengal,cold wave,0.0001137915339098771
India,West Bengal,flash flood,0.0001137915339098771
India,West Bengal,heat wave,0.0001137915339098771
India,West Bengal,lightning/thunderstorms,0.0002275830678197542
India,West Bengal,riverine flood,0.0006827492034592626
India,West Bengal,tropical cyclone,0.0002275830678197542
Indonesia,Aceh,flood (general),0.0001137915339098771
Indonesia,Bali,landslide (wet),0.0001137915339098771
Indonesia,Banten,landslide (wet),0.0001137915339098771
Indonesia,Banten,riverine flood,0.0001137915339098771
Indonesia,Bekasi,flood (general),0.0001137915339098771
Indonesia,Bengkulu,ground movement,0.0001137915339098771
Indonesia,Bengkulu,landslide (wet),0.0001137915339098771
Indonesia,Central Kalimantan,flood (general),0.0001137915339098771
Indonesia,Central Sulawesi and Gorontalo,flood (general),0.0001137915339098771
Indonesia,Dki Jakarta,flash flood,0.0001137915339098771
Indonesia,Dki Jakarta,ground movement,0.0001137915339098771
Indonesia,Dki Jakarta,riverine flood,0.0001137915339098771
Indonesia,Gorontalo,riverine flood,0.0001137915339098771
Indonesia,Jambi,flood (general),0.0001137915339098771
Indonesia,Jambi,riverine flood,0.0001137915339098771
Indonesia,Java Barat,riverine flood,0.0001137915339098771
Indonesia,Jawa Barat,ground movement,0.0001137915339098771
Indonesia,Jawa Barat,landslide (wet),0.0004551661356395084
Indonesia,Jawa Barat,riverine flood,0.0003413746017296313
Indonesia,Jawa Barat,rockfall (wet),0.0001137915339098771
Indonesia,Jawa Barat,storm (general),0.0001137915339098771
Indonesia,Jawa Barat,tropical cyclone,0.0001137915339098771
Indonesia,Jawa Tengah,flash flood,0.0001137915339098771
Indonesia,Jawa Tengah,landslide (wet),0.0005689576695493855
Indonesia,Jawa Tengah,riverine flood,0.0002275830678197542
Indonesia,Jawa Timur,flash flood,0.0001137915339098771
Indonesia,Jawa Timur,landslide (wet),0.0001137915339098771
Indonesia,Jawa Timur,mudslide,0.0001137915339098771
Indonesia,Jawa Timur,riverine flood,0.0002275830678197542
Indonesia,Kalimantan Barat,forest fire,0.0001137915339098771
Indonesia,Kalimatan Tengah,forest fire,0.0002275830678197542
Indonesia,Malaku,landslide (wet),0.0001137915339098771
Indonesia,Malaku Utara,ground movement,0.0001137915339098771
Indonesia,Maluku,riverine flood,0.0002275830678197542
Indonesia,Maluku Utara,ash fall,0.0001137915339098771
Indonesia,Maluku Utara,ground movement,0.0002275830678197542
Indonesia,Maluku Utara,tsunami,0.0001137915339098771
Indonesia,Nangroe Aceh Darussalam,flash flood,0.0002275830678197542
Indonesia,Nangroe Aceh Darussalam,ground movement,0.0001137915339098771
Indonesia,Nangroe Aceh Darussalam,riverine flood,0.0001137915339098771
Indonesia,North Sulawesi,flash flood,0.0002275830678197542
Indonesia,Nusatenggara Barat,flash flood,0.0001137915339098771
Indonesia,Nusatenggara Barat,flood (general),0.0001137915339098771
Indonesia,Nusatenggara Barat,ground movement,0.0001137915339098771
Indonesia,Nusatenggara Barat,landslide (wet),0.0001137915339098771
Indonesia,Nusatenggara Barat,riverine flood,0.0002275830678197542
Indonesia,Nusatenggara Timur,drought,0.0001137915339098771
Indonesia,Nusatenggara Timur,flash flood,0.0003413746017296313
Indonesia,Nusatenggara Timur,severe weather,0.0001137915339098771
Indonesia,Papua,drought,0.0001137915339098771
Indonesia,Papua,flood (general),0.0001137915339098771
Indonesia,Papua,riverine flood,0.0001137915339098771
Indonesia,Papua,tsunami,0.0001137915339098771
Indonesia,Papua Barat,flash flood,0.0001137915339098771
Indonesia,Papua Barat,ground movement,0.0001137915339098771
Indonesia,Papua Barat,tsunami,0.0001137915339098771
Indonesia,Southeast Sulawesi and Central Sulawesi,severe weather,0.0001137915339098771
Indonesia,Sulawesi,landslide (wet),0.0001137915339098771
Indonesia,Sulawesi Selatan,flood (general),0.0001137915339098771
Indonesia,Sulawesi Selatan,landslide (wet),0.0002275830678197542
Indonesia,Sulawesi Selatan,riverine flood,0.0002275830678197542
Indonesia,Sulawesi Tengah,ground movement,0.0002275830678197542
Indonesia,Sulawesi Tengah,landslide (wet),0.0001137915339098771
Indonesia,Sulawesi Utara,ash fall,0.0001137915339098771
Indonesia,Sulawesi Utara,flash flood,0.0001137915339098771
Indonesia,Sulawesi Utara,landslide (wet),0.0002275830678197542
Indonesia,Sumatera Barat,flash flood,0.0001137915339098771
Indonesia,Sumatera Barat,flood (general),0.0001137915339098771
Indonesia,Sumatera Barat,ground movement,0.0001137915339098771
Indonesia,Sumatera Selatan,riverine flood,0.0001137915339098771
Indonesia,Sumatera Utara,ash fall,0.0001137915339098771
Indonesia,Sumatera Utara,flash flood,0.0002275830678197542
Indonesia,Sumatera Utara,ground movement,0.0001137915339098771
Indonesia,Sumatera Utara,landslide (wet),0.0001137915339098771
Indonesia,Sumatera Utara,riverine flood,0.0002275830678197542
Indonesia,Sumatera Utara,tornado,0.0001137915339098771
Indonesia,Sumatera Utara,tsunami,0.0001137915339098771
Indonesia,Sumatra Selatan,ground movement,0.0001137915339098771
Indonesia,Sumatra Selatan,riverine flood,0.0001137915339098771
Indonesia,West Java,landslide (wet),0.0001137915339098771
Indonesia,and Aceh,flood (general),0.0001137915339098771
Indonesia,northern Sulawesi,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Bushehr,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Bushehr,ground movement,0.0002275830678197542
Iran (Islamic Republic of),East Azarbayejan,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Esfahan,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Esfahan,riverine flood,0.0001137915339098771
Iran (Islamic Republic of),Fars,ground movement,0.0002275830678197542
Iran (Islamic Republic of),Ghazvin,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Gilan,flash flood,0.0002275830678197542
Iran (Islamic Republic of),Golestan,flood (general),0.0001137915339098771
Iran (Islamic Republic of),Golestan,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Golestan,riverine flood,0.0002275830678197542
Iran (Islamic Republic of),Hormozgan,flood (general),0.0001137915339098771
Iran (Islamic Republic of),Hormozgan,ground movement,0.0003413746017296313
Iran (Islamic Republic of),Ilam,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Kerman,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Kerman,ground movement,0.0003413746017296313
Iran (Islamic Republic of),Kerman,riverine flood,0.0001137915339098771
Iran (Islamic Republic of),Kerman,tropical cyclone,0.0001137915339098771
Iran (Islamic Republic of),Kermanshah,ground movement,0.0001137915339098771
Iran (Islamic Republic of),Khorasan,flash flood,0.0001137915339098771
Iran (Islamic Republic of),Khorasan,ground movement,0.0002275830678197542
Iran (Islamic Republic of),Khorazan Razavi,flash flood,0.0001137915339098771
