Start Year,Country,province,Disaster Subtype,COUNT
2005,El Salvador,Usulutan,riverine flood,1
2005,El Salvador,Usulutan,tropical cyclone,1
2005,Guatemala,Alta Verapaz,landslide (wet),1
2005,Guatemala,Chimaltenango,tropical cyclone,1
2005,Guatemala,Guatemala,landslide (wet),1
2005,Guatemala,Zacapa,riverine flood,1
2005,Haiti,Grande Anse,tropical cyclone,2
2005,Haiti,Sud,riverine flood,1
2005,Haiti,Sud Est,flood (general),1
2005,Haiti,Sud Est,tropical cyclone,1
2005,Honduras,Colon,tropical cyclone,1
2005,Honduras,Francisco Morazan,riverine flood,1
2005,Honduras,Yoro,tropical cyclone,1
2005,Jamaica,Saint Andrew And Kingston,tropical cyclone,1
2005,Jamaica,Saint Elizabeth,tropical cyclone,1
2005,Jamaica,Saint Thomas,tropical cyclone,1
2005,Mexico,Oaxaca,riverine flood,1
2005,Mexico,Puebla,riverine flood,1
2005,Mexico,Quintana Roo,tropical cyclone,1
2005,Mexico,Tabasco,tropical cyclone,1
2005,Nicaragua,Granada,tropical cyclone,1
2005,Nicaragua,Jinotega,tropical cyclone,1
2005,Panama,Ngobe Bugle,riverine flood,1
2005,Paraguay,Alto Paraguay,drought,1
2005,Peru,Arequipa,ground movement,1
2005,United States of America,Alabama,tropical cyclone,1
2005,United States of America,California,riverine flood,1
2005,United States of America,Florida,tropical cyclone,1
2005,United States of America,Georgia,tropical cyclone,1
2005,United States of America,Iowa,blizzard/winter storm,1
2005,United States of America,Maine,riverine flood,1
2005,United States of America,Mississippi,heat wave,1
2005,United States of America,Mississippi,tropical cyclone,1
2005,United States of America,Nevada,riverine flood,1
2005,United States of America,Oklahoma,forest fire,1
2005,United States of America,Vermont,riverine flood,1
2005,United States of America,Wyoming,blizzard/winter storm,1
2005,Uruguay,Maldonado,storm (general),1
2005,Venezuela (Bolivarian Republic of),Distrito Capital,riverine flood,2
2005,Venezuela (Bolivarian Republic of),Guarico,riverine flood,1
2005,Venezuela (Bolivarian Republic of),Zulia,riverine flood,1
2006,Argentina,Formosa,flood (general),1
2006,Bolivia (Plurinational State of),Beni,riverine flood,1
2006,Canada,British Columbia,riverine flood,1
2006,Canada,Newfoundland and Labrador,riverine flood,1
2006,Canada,Northwest Territories,riverine flood,1
2006,Canada,Ontario,riverine flood,1
2006,Canada,Saskatchewan,riverine flood,1
2006,Chile,Maule,riverine flood,1
2006,Colombia,Caqueta,riverine flood,1
2006,Cuba,Guantanamo,riverine flood,1
2006,Ecuador,Chimborazo,ash fall,1
2006,Ecuador,Manabi,ash fall,1
2006,Ecuador,Zona No Delimitada,riverine flood,1
2006,Guatemala,Zacapa,cold wave,1
2006,Haiti,Artibonite,tropical cyclone,1
2006,Haiti,Nippes,flash flood,1
2006,Honduras,Intibuca,riverine flood,1
2006,Jamaica,Portland,riverine flood,1
2006,Mexico,Durango,landslide (wet),1
2006,Mexico,Sinaloa,tropical cyclone,1
2006,Mexico,Zacatecas,cold wave,1
2006,Montserrat,Salem,ash fall,1
2006,Panama,Chiriqui,riverine flood,1
2006,Panama,Kuna Yala,wildfire (general),1
2006,Peru,Arequipa,drought,1
2006,Peru,Moquegua,ash fall,1
2006,Peru,Puno,riverine flood,1
2006,United States of America,Alaska,riverine flood,1
2006,United States of America,California,heat wave,1
2006,United States of America,California,"land fire (brush, bush, pasture)",1
2006,United States of America,Florida,tornado,1
2006,United States of America,Illinois,riverine flood,1
2006,United States of America,Iowa,hail,1
2006,United States of America,Massachusetts,riverine flood,1
2006,United States of America,New Jersey,riverine flood,1
2006,United States of America,Ohio,hail,1
2006,United States of America,Oklahoma,tornado,1
2006,United States of America,Oregon,riverine flood,1
2006,United States of America,Tennessee,storm (general),1
2006,United States of America,Texas,tornado,1
2006,United States of America,Virginia,tropical cyclone,1
2006,United States of America,Washington,storm (general),1
2007,Argentina,Formosa,riverine flood,1
2007,Argentina,La Rioja,severe winter conditions,1
2007,Argentina,Santa Fe,riverine flood,1
2007,Bolivia (Plurinational State of),Tarija,riverine flood,2
2007,Brazil,Minas Gerais,drought,1
2007,Brazil,Rio de Janeiro,flash flood,1
2007,Brazil,Rio de Janeiro,riverine flood,1
2007,Canada,British Columbia,riverine flood,1
2007,Canada,Quebec,blizzard/winter storm,1
2007,Chile,Aisen del General Carlos Ibañez del Campo,tsunami,1
2007,Chile,Araucania,severe winter conditions,1
2007,Colombia,Cauca,ash fall,1
2007,Colombia,Magdalena,riverine flood,1
2007,Colombia,Putumayo,riverine flood,1
2007,Costa Rica,Guanacaste,riverine flood,1
2007,Cuba,Isla de la Juventud,tropical cyclone,1
2007,Cuba,Santiago de Cuba,riverine flood,1
2007,Cuba,Santiago de Cuba,tropical cyclone,1
2007,Dominican Republic,Monsenor Nouel,tropical cyclone,1
2007,Dominican Republic,Monte Cristi,riverine flood,1
2007,Dominican Republic,San Pedro de Macoris,tropical cyclone,1
2007,Dominican Republic,Santo Domingo,tropical cyclone,1
2007,Dominican Republic,Valverde,riverine flood,1
2007,El Salvador,Usulutan,riverine flood,1
2007,El Salvador,Usulutan,tropical cyclone,1
2007,Guatemala,Suchitepequez,riverine flood,1
2007,Haiti,Nord Est,riverine flood,1
2007,Haiti,Nord Ouest,tropical cyclone,2
2007,Haiti,Sud Est,riverine flood,1
2007,Honduras,Colon,flood (general),1
2007,Honduras,Paraiso,tropical cyclone,1
2007,Jamaica,Manchester,tropical cyclone,1
2007,Jamaica,Saint Andrew And Kingston,tropical cyclone,1
2007,Martinique,Le Marin,tropical cyclone,1
2007,Mexico,Chiapas,landslide (wet),1
2007,Mexico,Jalisco,tropical cyclone,1
2007,Mexico,Puebla,tropical cyclone,2
2007,Mexico,San Luis Potosi,tropical cyclone,1
2007,Mexico,Tabasco,riverine flood,1
2007,Mexico,Veracruz,coastal flood,1
2007,Nicaragua,Matagalpa,riverine flood,1
2007,Panama,Veraguas,riverine flood,1
2007,Paraguay,Amambay,forest fire,1
2007,Peru,Ica,ground movement,1
2007,Peru,San Martin,riverine flood,1
2007,Peru,Tacna,severe winter conditions,1
2007,Saint Lucia,Region Number 8,tropical cyclone,1
2007,United States of America,California,forest fire,1
2007,United States of America,Illinois,storm (general),1
2007,United States of America,Maryland,drought,1
2007,United States of America,Minnesota,tornado,1
2007,United States of America,Missouri,riverine flood,1
2007,United States of America,Missouri,tropical cyclone,1
2007,United States of America,North Dakota,riverine flood,1
2007,United States of America,Oklahoma,riverine flood,2
2007,United States of America,Oregon,storm (general),1
2007,United States of America,Pennsylvania,blizzard/winter storm,1
2007,United States of America,Rhode Island,storm (general),1
2007,United States of America,South Dakota,tornado,1
2007,United States of America,Texas,riverine flood,1
2007,United States of America,Virginia,storm (general),1
2007,United States of America,Wisconsin,storm (general),1
2007,United States of America,Wyoming,storm (general),1
2007,Uruguay,Soriano,riverine flood,1
2007,Uruguay,Soriano,severe winter conditions,1
2007,Uruguay,Treinta y Tres,riverine flood,1
2008,Argentina,Chubut,ash fall,1
2008,Argentina,Salta,riverine flood,1
2008,Belize,Orange Walk,riverine flood,1
2008,Belize,Stann Creek,tropical cyclone,1
2008,Bolivia (Plurinational State of),Santa Cruz,drought,1
2008,Bolivia (Plurinational State of),Tarija,severe weather,1
2008,Brazil,Ceara,riverine flood,1
2008,Brazil,Rio De Janeiro,riverine flood,1
2008,Brazil,Rio Grande do Sul,extra-tropical storm,1
2008,Canada,North Ontario,riverine flood,1
2008,Canada,Ontario,riverine flood,1
2008,Cayman Islands,Cayman Brac,tropical cyclone,1
2008,Cayman Islands,Little Cayman,tropical cyclone,1
2008,Chile,Los Lagos,ash fall,1
2008,Chile,Los Rios,riverine flood,1
2008,Chile,Maule,riverine flood,1
2008,Colombia,Casanare,riverine flood,1
2008,Colombia,Meta,ground movement,1
2008,Costa Rica,Alajuela,riverine flood,1
2008,Costa Rica,Limon,riverine flood,1
2008,Costa Rica,Puntarenas,riverine flood,1
2008,Cuba,Granma,tropical cyclone,1
2008,Cuba,Holguín,tropical cyclone,1
2008,Cuba,Matanzas,tropical cyclone,2
2008,Dominican Republic,Puerto Plata,tropical cyclone,1
2008,Dominican Republic,Valverde,tropical cyclone,1
2008,Ecuador,Pincincha,riverine flood,1
2008,El Salvador,San Miguel,riverine flood,1
2008,El Salvador,San Salvador,riverine flood,1
2008,Guatemala,Alta Verapaz,riverine flood,1
2008,Guatemala,Guatemala,landslide (wet),1
2008,Guatemala,Huehuetenango,tropical cyclone,1
2008,Guatemala,Peten,riverine flood,1
2008,Haiti,Centre,tropical cyclone,1
2008,Haiti,Nippes,tropical cyclone,1
2008,Haiti,Sud Est,tropical cyclone,1
2008,Honduras,Yoro,riverine flood,1
2008,Jamaica,Saint Mary,tropical cyclone,1
2008,Jamaica,Westmoreland,tropical cyclone,1
2008,Mexico,Coahuila,tropical cyclone,1
2008,Mexico,Oaxaca,flash flood,1
2008,Nicaragua,Granada,tropical cyclone,1
2008,Nicaragua,Managua,riverine flood,1
2008,Nicaragua,Rivas,riverine flood,1
2008,Panama,Chiriqui,flash flood,1
2008,Panama,Darien,riverine flood,1
2008,Paraguay,Boqueron,drought,1
2008,Paraguay,Concepcion,hail,1
2008,Peru,Lima,riverine flood,1
2008,Suriname,Sipaliwini,riverine flood,1
2008,Turks and Caicos Islands,South and East Caicos,tropical cyclone,1
2008,United States of America,Alabama,tropical cyclone,1
2008,United States of America,Arkansas,tornado,1
2008,United States of America,Florida,tropical cyclone,1
2008,United States of America,Iowa,tornado,1
2008,United States of America,Maryland,tropical cyclone,1
2008,United States of America,Michigan,tropical cyclone,1
2008,United States of America,Mississippi,tornado,1
2008,United States of America,Mississippi,tropical cyclone,1
2008,United States of America,Missouri,tornado,1
2008,United States of America,Nevada,ground movement,1
2008,United States of America,Oregon,riverine flood,1
2008,United States of America,Texas,riverine flood,1
2008,United States of America,Texas,tornado,1
2008,United States of America,Vermont,blizzard/winter storm,1
2008,United States of America,Vermont,severe winter conditions,1
2008,United States of America,Washington,riverine flood,1
2008,United States of America,Wisconsin,extra-tropical storm,1
2008,United States of America,Wisconsin,riverine flood,1
2008,Venezuela (Bolivarian Republic of),Trujillo,riverine flood,1
2009,Argentina,Misiones,severe weather,1
2009,Argentina,Santa Fe,riverine flood,1
2009,Argentina,Santiago del Estero,drought,1
2009,Brazil,Amazonas,riverine flood,1
2009,Brazil,Minas Gerais,riverine flood,1
2009,Brazil,Rio Grande do Norte,riverine flood,1
2009,Brazil,Rio de Janeiro,mudslide,1
2009,Brazil,Santa Catarina,severe weather,1
2009,Canada,Newfoundland and Labrador,tropical cyclone,1
2009,Colombia,Cundinamarca,landslide (wet),1
2009,Colombia,Tolima,riverine flood,1
2009,Dominican Republic,Santiago Rodrigez,riverine flood,1
2009,Dominican Republic,Valverde,riverine flood,1
2009,Ecuador,Santa Elena,riverine flood,1
2009,Ecuador,Tungurahua,drought,1
2009,El Salvador,Usulutan,drought,1
2009,El Salvador,Usulutan,tropical cyclone,1
2009,Guatemala,Alta Verapraz,landslide (dry),1
2009,Guatemala,Quiché,drought,1
2009,Haiti,Nord Est,riverine flood,1
2009,Haiti,Ouest,flash flood,1
2009,Honduras,Intibuca,drought,1
2009,Mexico,Oaxaca,riverine flood,1
2009,Nicaragua,Atlantico Norte,tropical cyclone,1
2009,Paraguay,Caaguazu,severe weather,1
2009,Paraguay,Neembucu,riverine flood,1
2009,Paraguay,Neembucú,drought,1
2009,Peru,Ayacucho,landslide (wet),1
2009,Peru,Huanuco,cold wave,1
2009,Peru,La Libertad,landslide (wet),1
2009,Peru,Puno,rockfall (wet),1
2009,United States of America,Colorado,severe weather,1
2009,United States of America,District of Columbia,cold wave,1
2009,United States of America,Kentucky,riverine flood,1
2009,United States of America,Kentucky,tornado,1
2009,United States of America,Louisiana,lightning/thunderstorms,1
2009,United States of America,Minnesota,riverine flood,1
2009,United States of America,Missouri,tornado,1
2009,United States of America,Oklahoma,blizzard/winter storm,1
2009,United States of America,Pennsylvannia,tropical cyclone,1
2009,United States of America,Tennessee,riverine flood,1
2009,United States of America,Tennessee,tornado,1
2009,United States of America,Washington,tornado,1
2009,Uruguay,Treinta Y Tres,riverine flood,1
2009,Venezuela (Bolivarian Republic of),Distrito Capital,drought,1
2010,Argentina,Tucuman,cold wave,1
2010,Belize,Stann Creek,tropical cyclone,1
2010,Bolivia (Plurinational State of),Chuquisaca,drought,1
2010,Bolivia (Plurinational State of),La Paz,forest fire,1
2010,Bolivia (Plurinational State of),La Paz and Santa Cruz,riverine flood,1
2010,Brazil,Minas Gerais,heat wave,1
2010,Brazil,Pernambuco,riverine flood,1
2010,Brazil,Sao Paulo,riverine flood,1
2010,Canada,Newfoundland and Labrador,blizzard/winter storm,1
2010,Colombia,Antioquia,landslide (wet),1
2010,Colombia,Guajira,riverine flood,1
2010,Colombia,Guaviare,riverine flood,1
2010,Colombia,Nariño,riverine flood,1
2010,Colombia,Vichada,wildfire (general),1
2010,Costa Rica,Cartago,riverine flood,1
2010,Costa Rica,San Jose,riverine flood,1
2010,Dominican Republic,Puerto Plata,flash flood,1
2010,Dominican Republic,Valverde,riverine flood,1
2010,Dominican Republic,Valverde,tropical cyclone,1
2010,Ecuador,Guayas,ash fall,1
2010,Ecuador,Guayas,riverine flood,1
2010,El Salvador,La Libertad,tropical cyclone,1
2010,El Salvador,Usulutan,tropical cyclone,1
2010,Guatemala,El Progreso,tropical cyclone,1
2010,Guatemala,Huehuetenango,riverine flood,1
2010,Guatemala,Jutiapa,tropical cyclone,1
2010,Guatemala,Quiché,tropical cyclone,1
2010,Guatemala,Sacatepéquez,ash fall,1
2010,Guatemala,Totonicapan,landslide (wet),1
2010,Haiti,Grande Anse,tropical cyclone,1
2010,Haiti,Sud,riverine flood,1
2010,Haiti,Sud Est,ground movement,1
2010,Honduras,Comayagua,tropical cyclone,2
2010,Honduras,Francisco Morazan,riverine flood,1
2010,Honduras,Yoro,riverine flood,1
2010,Jamaica,Westmoreland,tropical cyclone,1
2010,Mexico,Chiapas,riverine flood,1
2010,Mexico,Michoacan,riverine flood,1
2010,Mexico,Nuevo León,tropical cyclone,1
